"userid","username","firstname","lastname","city","state","email","phone","likesports","liketheatre","likeconcerts","likejazz","likeclassical","likeopera","likerock","likevegas","likebroadway","likemusicals"
38,"ZID76UPY","Lana","Ruiz","Bradbury","BC","molestie.dapibus@Morbinequetellus.org","(479) 270-8296",null,true,false,null,false,null,null,true,false,true
39,"VGN74HUG","Lana","Ross","Vicksburg","NH","mi.lorem@nunc.edu","(124) 868-4475",null,null,null,false,false,true,null,null,null,false
40,"ZUN45DHB","Lev","Albert","New Brunswick","MT","porttitor.tellus@tempor.ca","(968) 686-8596",null,false,false,true,null,false,null,false,false,null
42,"GJJ53BFI","Britanni","Rojas","Pueblo","NC","enim.gravida@placerataugue.edu","(391) 928-5730",null,null,true,null,null,null,null,true,null,null
44,"PCT24DQH","Ezra","Woods","Coral Springs","PE","in.lobortis.tellus@bibendumDonecfelis.edu","(417) 591-6305",null,null,null,false,null,true,null,false,null,null
46,"GKA79VTB","Winifred","Cherry","Little Rock","MB","lorem.fringilla.ornare@Cras.ca","(253) 672-9044",true,false,false,null,null,null,true,false,null,null
47,"IIK79DYX","Cara","Hampton","Hidden Hills","AB","quis@sitamet.edu","(776) 152-8573",true,true,false,false,null,null,null,false,false,false
52,"ZKS73PUJ","Jocelyn","Montgomery","Alameda","TX","ridiculus.mus.Proin@augue.ca","(176) 496-9482",null,null,null,null,false,null,null,null,true,null
54,"IOU50DXZ","Keith","Dennis","Providence","MB","libero@ultricesVivamusrhoncus.ca","(492) 702-4360",false,null,null,null,false,false,null,false,null,null
56,"MHU11LZP","Howard","Wiley","Oklahoma City","NU","accumsan@vulputateullamcorper.ca","(277) 315-5682",null,false,true,false,false,true,false,false,false,true
57,"EWK81OLS","Coby","Fuller","Williamsport","MO","purus.Duis.elementum@inmagnaPhasellus.ca","(656) 549-2454",null,false,true,null,true,null,true,true,false,null
59,"LJS91QHU","Colette","Clay","Oxnard","AK","dictum.augue.malesuada@arcueu.edu","(940) 798-8341",null,true,true,true,true,true,null,null,true,null
60,"RGR79QRV","Wesley","Casey","Waukegan","MB","diam.luctus.lobortis@ut.ca","(895) 814-9925",null,null,null,true,false,true,null,null,false,false
62,"ZBE56HCI","Chase","Chase","Lebanon","IN","vehicula@Curabitur.org","(510) 428-3464",false,null,null,null,null,false,null,false,true,null
63,"QOY69EOH","Liberty","Ellison","Port Arthur","NB","vitae@bibendum.ca","(215) 531-0489",true,false,false,null,false,null,null,null,true,null
66,"TZE02EAL","Miranda","Duncan","Corvallis","MA","tellus.Aenean.egestas@Cumsociis.com","(294) 268-7963",null,null,false,false,null,false,null,false,null,true
67,"TWU10MZT","Herman","Myers","Basin","PE","Mauris@neque.com","(471) 895-6189",true,true,null,true,false,null,false,true,null,true
68,"NIP61OFT","Piper","Barrett","Pendleton","NU","non@Nunc.ca","(952) 503-3754",false,true,true,null,true,null,true,true,null,null
72,"EUZ88BTS","Rajah","Martin","Brunswick","GA","sollicitudin.a@Nuncut.edu","(986) 509-5037",null,false,true,true,null,false,true,null,null,false
73,"JVA02BZU","Benedict","Francis","Marshall","NL","fermentum@Nam.ca","(664) 620-8510",false,null,null,false,null,true,true,false,null,null
74,"RCY16FGO","Randall","Hayden","Nichols Hills","NB","libero.mauris@lobortisrisus.com","(169) 758-6995",null,null,null,null,true,null,null,false,null,false
76,"UWR70CFA","Walter","Pacheco","Saint Joseph","MN","Vivamus.sit@fermentum.edu","(324) 625-1370",null,true,true,null,false,null,true,true,null,true
81,"FNM72BJE","Priscilla","Foster","Fulton","QC","sed.hendrerit.a@elementum.org","(399) 929-1170",null,null,null,false,null,null,null,null,false,true
82,"SHP62WQI","Aladdin","Haney","Huntington Park","CO","mi.enim.condimentum@arcuac.org","(976) 615-7719",true,false,null,null,true,null,null,null,null,null
83,"IGQ98TMP","Kirby","Mcfadden","Lynwood","NL","non.massa@sapienCras.ca","(429) 722-1849",null,null,false,null,true,null,null,true,false,null
85,"NUL15OGA","Deborah","Ellison","Port Orford","YT","id@Suspendisse.com","(806) 309-6587",true,null,null,null,false,true,true,false,true,null
86,"JEK04LAC","Xyla","Stuart","Stamford","QC","enim.gravida@atnisi.edu","(279) 268-8977",null,null,null,true,null,false,true,null,false,false
87,"DUF19VXU","Reese","Merrill","Marietta","NC","odio.Nam@velarcuCurabitur.ca","(948) 934-4344",true,true,null,true,false,false,true,true,null,null
89,"SZJ09XEV","Aidan","Miranda","Muncie","NT","scelerisque@euismodet.com","(225) 364-9590",true,true,null,false,false,null,null,false,true,null
93,"UND40VWX","Halla","Rosario","Yukon","NL","dictum@mi.org","(200) 340-0223",null,null,true,false,true,false,false,null,null,null
94,"TIJ86UXR","Ariana","Cobb","Baltimore","NB","In.nec.orci@semmagnanec.com","(432) 793-7979",null,true,null,null,null,null,true,null,null,null
95,"UML92KIA","Geraldine","Beck","Albuquerque","CO","magna@euligula.ca","(801) 596-7010",null,true,true,false,null,null,true,null,null,false
97,"SXB93OEE","Palmer","James","Vancouver","SK","ornare.elit.elit@necmalesuadaut.ca","(561) 927-2931",true,true,true,null,false,null,null,null,false,null
101,"LQN05OCS","Jasper","Ashley","Dalton","PE","et.magna@ametultriciessem.ca","(583) 698-6414",null,true,false,null,null,false,null,null,true,null
107,"HSY03VTR","Jocelyn","Bullock","Grand Junction","ON","Cras.dictum@velquam.org","(859) 140-4532",null,true,true,null,null,false,null,null,true,true
113,"WDE69ZZZ","Bethany","Christensen","Sonoma","MN","nec.metus@neceleifend.com","(701) 635-6866",false,false,false,true,null,false,true,false,true,true
114,"BPO22XTW","Preston","Harding","Meadville","ON","Nullam.lobortis.quam@Nunc.ca","(465) 740-5900",true,null,null,true,null,false,null,null,null,null
115,"NWN06ZDD","Theodore","Castaneda","Davenport","PE","tristique@nuncInat.ca","(835) 349-5612",null,true,true,true,true,null,false,false,null,false
116,"IUM80YVR","Lani","Wilder","Vernon","WI","ultrices.sit@Maecenaslibero.edu","(584) 675-3089",null,null,null,false,true,true,true,false,null,false
121,"AQI41NWD","Aaron","Smith","Malden","QC","Nulla@metusInlorem.edu","(357) 322-0822",true,null,null,true,true,false,null,null,true,null
123,"QZR22XGQ","Jarrod","Stephens","Tucson","MB","a@dui.ca","(481) 863-2600",true,true,true,null,null,true,false,true,null,null
127,"JAQ37EUX","Guy","Holloway","Hope","WA","aptent.taciti@scelerisqueduiSuspendisse.com","(192) 914-3979",null,null,null,false,null,true,null,true,false,false
129,"JCE22ELF","Zenia","Giles","Chandler","NU","luctus.felis.purus@sitamet.ca","(648) 695-1614",null,false,false,false,true,null,null,true,null,null
131,"UNX85IKD","Dylan","Lamb","Rome","NB","scelerisque.sed.sapien@nectempusmauris.ca","(603) 200-8725",null,null,false,null,false,null,null,null,false,null
132,"FXH60JQV","Bo","Trevino","Hawaiian Gardens","RI","libero.Proin.sed@miDuisrisus.org","(420) 536-7711",null,null,true,false,true,null,null,null,null,false
133,"LBN45WCH","Maryam","Finch","Hope","RI","mattis.Cras@aliquamenimnec.org","(329) 734-0178",true,null,null,null,true,false,null,true,null,null
135,"RKV66ZIW","Teegan","Caldwell","Laramie","NB","nec.leo@Cras.org","(695) 437-3200",true,true,false,true,false,null,true,null,null,null
138,"XVI27SQB","Kenyon","Whitaker","Kankakee","SK","viverra.Donec@purusac.com","(460) 185-1775",false,null,true,null,null,null,true,null,true,false
139,"DAU10PTG","Garrett","Howe","Rockford","BC","scelerisque.scelerisque.dui@acurnaUt.com","(343) 532-7496",null,false,true,null,false,false,null,null,true,null
140,"BLA39IRS","Richard","Mcpherson","Hermitage","QC","gravida.sit.amet@ullamcorper.ca","(837) 956-9817",null,false,false,null,false,true,true,null,true,true
146,"YAU66LUD","Martena","Conway","Liberal","MD","Donec@vulputateullamcorpermagna.org","(388) 592-3962",false,null,null,null,false,null,true,null,true,null
147,"ONQ40ORK","Lacey","Gallegos","Plymouth","NY","quis.urna@Phasellusfermentumconvallis.edu","(504) 480-6165",null,null,null,true,null,null,null,null,true,true
150,"VEZ53SJW","Bradley","Hood","North Chicago","ON","placerat.augue.Sed@tristique.edu","(514) 574-7416",null,false,null,true,null,true,null,false,null,null
155,"IOE23BFW","Travis","Oconnor","Shelton","VT","velit.egestas.lacinia@aliquet.org","(956) 732-3300",null,null,true,null,false,true,true,null,false,true
158,"HMD60GBJ","Hanae","Cross","Champaign","NS","Quisque.imperdiet@nuncnullavulputate.ca","(927) 205-2037",null,true,null,false,false,true,null,true,true,null
159,"NFS23UVO","Ryan","Chambers","Elko","MB","In@duiFuscediam.org","(524) 466-1236",null,null,false,null,null,null,false,false,null,null
162,"AQN39SAW","Sean","Nichols","West Covina","NT","arcu@a.ca","(600) 363-2963",null,null,null,false,true,null,false,null,null,true
163,"OGO65EXV","Carissa","Lang","Cheyenne","MN","Nunc@quis.edu","(920) 474-7294",false,false,true,false,null,null,true,null,false,null
165,"TEY68OEB","Gray","Gay","Moraga","TN","ante@rhoncus.com","(585) 913-7389",true,true,false,false,true,true,null,true,null,true
167,"KXI64VCR","Eleanor","Santana","Lynchburg","PE","diam.at.pretium@sedtortorInteger.org","(346) 492-9117",null,null,true,true,false,true,true,false,null,null
168,"EMS88QBU","Phyllis","Dodson","Missoula","ND","magna.Phasellus@loremlorem.ca","(668) 464-2966",null,true,true,false,false,null,false,true,false,null
171,"EDA64STV","Hannah","Neal","Revere","PE","Quisque@mattis.com","(189) 723-1969",true,null,true,null,false,false,true,null,false,null
174,"OUI61JQY","Carla","Simpson","Lynn","WI","nunc.id@ornare.org","(962) 642-3454",false,null,true,true,null,null,null,null,null,null
176,"FTY44NTI","Beck","Francis","Cape May","ND","dui.lectus@dictumsapienAenean.edu","(272) 101-6956",null,true,false,null,null,null,false,null,true,null
177,"UKV94WEC","Rachel","Pruitt","Saint Paul","OH","magna.Nam.ligula@enim.ca","(274) 657-6972",null,null,false,false,null,null,false,true,false,true
179,"MDD75AAS","Herman","Cook","Belpre","IN","pede@amalesuadaid.ca","(790) 605-5389",true,null,null,false,null,false,true,false,true,null
180,"STX83XIX","Elvis","Burton","Utica","NB","eget.lacus@vitaedolor.com","(758) 207-8265",null,null,false,null,null,false,null,true,null,null
182,"TYR53KMJ","Owen","Serrano","Catskill","NB","ultrices.mauris@egestasadui.edu","(547) 511-5412",null,null,null,true,null,null,null,false,null,null
187,"EFN74KTN","Serina","Haley","Corpus Christi","NJ","neque@justo.org","(270) 240-5376",null,false,true,false,null,null,false,null,true,null
190,"LHU64ISD","Irene","Alston","Mequon","NU","odio.Aliquam.vulputate@liberoIntegerin.com","(676) 228-8619",false,null,false,false,true,true,null,null,true,false
191,"XDA52HJC","Xerxes","Lott","Apple Valley","YT","facilisis@acmattis.com","(379) 111-4890",null,false,null,true,true,null,false,false,false,true
196,"MEY91XOE","Nora","Mitchell","Carson","WV","viverra.Donec@luctus.edu","(709) 287-9430",null,null,null,false,true,true,null,true,null,true
197,"GLV16SYO","Beverly","Gilbert","Monongahela","NS","vulputate@pellentesquetellus.edu","(478) 178-5417",null,null,false,null,null,false,null,null,null,true
200,"WQU08CGE","Nathan","Blackwell","Clarksburg","ID","nisl.arcu@sodalesMauris.edu","(930) 572-7946",true,false,null,null,false,null,true,null,null,false
202,"TCR53UBT","Conan","Knox","Lufkin","DC","Mauris.nulla@magnisdis.ca","(295) 271-9780",null,false,false,false,null,true,null,null,null,null
205,"MZL07KKT","Howard","Terrell","Belpre","NS","dictum.eu.placerat@porttitorvulputateposuere.ca","(687) 348-7695",null,null,null,null,null,null,true,null,true,null
210,"SRT47MND","Merrill","Chan","North Little Rock","NS","eu@tortordictumeu.org","(851) 362-2252",false,true,false,null,false,false,null,false,false,null
211,"VXX01NGK","Plato","Shepherd","Peabody","VT","euismod@egestas.ca","(189) 293-0192",null,null,null,null,null,false,null,null,null,null
212,"WGT84RFN","Ray","Clemons","Sault Ste. Marie","NE","Phasellus@enim.org","(510) 742-9457",false,true,null,null,true,true,true,null,false,false
213,"QHJ70VYZ","Gannon","Lowe","Rhinelander","YT","Nulla.interdum.Curabitur@euarcuMorbi.edu","(427) 393-5527",null,null,false,true,null,null,null,true,true,false
